mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
230,1/138,1,848,138,Republic Colombia,GPE,mentioned in agt text,CON_181,Colombia,Country/State,COL,Colombia,COL
231,1/138,1,848,138,Republic Croatia,GPE,mentioned in agt text,CON_1,Croatia,Country/State,CRO,Croatia,HRV
232,1/138,1,848,138,Republic Cyprus,GPE,mentioned in agt text,0,,,,,
233,1/138,1,848,138,Czech Republic,GPE,mentioned in agt text,CON_637,Czechia,Country/State,CZR,Czechia,CZE
234,1/138,1,848,138,Kingdom Denmark,GPE,mentioned in agt text,CON_604,Denmark,Country/State,DEN,Denmark,DNK
235,1/138,1,848,138,Arab Republic Egypt,GPE,mentioned in agt text,CON_82,Egypt,Country/State,EGY,Egypt,EGY
236,1/138,1,848,138,Republic El Salvador,GPE,mentioned in agt text,CON_300,El Salvador,Country/State,SAL,El Salvador,SLV
237,1/138,1,848,138,Republic Estonia,GPE,mentioned in agt text,CON_605,Estonia,Country/State,EST,Estonia,EST
238,1/138,1,848,138,Republic Finland,GPE,mentioned in agt text,CON_171,Finland,Country/State,FIN,Finland,FIN
239,1/138,1,848,138,French Republic,GPE,mentioned in agt text,CON_7,France,Country/State,FRN,France,FRA
240,1/138,1,848,138,Georgia,GPE,mentioned in agt text,CON_45,Georgia,Country/State,GRG,Georgia,GEO
241,1/138,1,848,138,Federal Republic Germany,GPE,mentioned in agt text,CON_2,Germany,Country/State,GMY,Germany,DEU
242,1/138,1,848,138,Hellenic Republic,GPE,mentioned in agt text,0,,,,,
243,1/138,1,848,138,Republic Hungary,GPE,mentioned in agt text,CON_602,Hungary,Country/State,HUN,Hungary,HUN
244,1/138,1,848,138,Republic Iceland,GPE,mentioned in agt text,CON_601,Iceland,Country/State,ICE,Iceland,ISL
245,1/138,1,848,138,Republic India,GPE,mentioned in agt text,CON_70,India,Country/State,IND,India,IND
246,1/138,1,848,138,Republic Indonesia,GPE,mentioned in agt text,CON_162,Indonesia,Country/State,INS,Indonesia,IDN
247,1/138,1,848,138,Islamic Republic Iran,GPE,mentioned in agt text,CON_289,Iran (Islamic Republic of),Country/State,IRN,Iran (Islamic Republic of),IRN
248,1/138,1,848,138,Republic Iraq,GPE,mentioned in agt text,CON_75,Iraq,Country/State,IRQ,Iraq,IRQ
249,1/138,1,848,138,Ireland,GPE,mentioned in agt text,CON_169,Ireland,Country/State,IRE,Ireland,IRL
250,1/138,1,848,138,Republic Italy,GPE,mentioned in agt text,CON_139,Italy,Country/State,ITA,Italy,ITA
251,1/138,1,848,138,Japan,GPE,mentioned in agt text,CON_294,Japan,Country/State,JPN,Japan,JPN
252,1/138,1,848,138,Hashemite Kingdom,GPE,mentioned in agt text,0,,,,,
253,1/138,1,848,138,Jordan,GPE,mentioned in agt text,CON_78,Jordan,Country/State,JOR,Jordan,JOR
254,1/138,1,848,138,Republic Kazakhstan,GPE,mentioned in agt text,CON_56,Kazakhstan,Country/State,KZK,Kazakhstan,KAZ
255,1/138,1,848,138,Republic Korea,GPE,mentioned in agt text,CON_458,South Korea,Country/State,ROK,"Korea, Republic of",KOR
256,1/138,1,848,138,State Kuwait,GPE,mentioned in agt text,CON_563,Kuwait,Country/State,KUW,Kuwait,KWT
257,1/138,1,848,138,Kyrgyz Republic,GPE,mentioned in agt text,CON_55,Kyrgyzstan,Country/State,KYR,Kyrgyzstan,KGZ
258,1/138,1,848,138,Republic Latvia,GPE,mentioned in agt text,CON_615,Latvia,Country/State,LAT,Latvia,LVA
259,1/138,1,848,138,Lebanese Republic,GPE,mentioned in agt text,CON_79,Lebanon,Country/State,LEB,Lebanon,LBN
260,1/138,1,848,138,Liechtenstein,GPE,mentioned in agt text,CON_613,Liechtenstein,Country/State,,Liechtenstein,LIE
261,1/138,1,848,138,Republic Lithuania,GPE,mentioned in agt text,CON_612,Lithuania,Country/State,LIT,Lithuania,LTU
262,1/138,1,848,138,Grand Duchy,ORG,mentioned in agt text,0,,,,,
263,1/138,1,848,138,Luxembourg,GPE,mentioned in agt text,CON_611,Luxembourg,Country/State,LUX,Luxembourg,LUX
264,1/138,1,848,138,Yugoslav Republic Macedonia,GPE,mentioned in agt text,CON_22,Yugoslavia,Country/State,YUG,,YUG
265,1/138,1,848,138,Malaysia,GPE,mentioned in agt text,CON_12,Malaysia,Country/State,MAL,Malaysia,MYS
266,1/138,1,848,138,Republic Malta,GPE,mentioned in agt text,CON_614,Malta,Country/State,MLT,Malta,MLT
267,1/138,1,848,138,United Mexican States,GPE,mentioned in agt text,CON_268,Mexico,Country/State,MEX,Mexico,MEX
268,1/138,1,848,138,Mongolia,GPE,mentioned in agt text,CON_608,Mongolia,Country/State,MON,Mongolia,MNG
269,1/138,1,848,138,Montenegro,GPE,mentioned in agt text,CON_607,Montenegro,Country/State,MNG,Montenegro,MNE
270,1/138,1,848,138,Kingdom Morocco,GPE,mentioned in agt text,CON_228,Morocco,Country/State,MOR,Morocco,MAR
271,1/138,1,848,138,Kingdom Netherlands,GPE,mentioned in agt text,CON_10,Netherlands,Country/State,NTH,Netherlands,NLD
272,1/138,1,848,138,New Zealand,GPE,mentioned in agt text,CON_276,New Zealand,Country/State,NEW,New Zealand,NZL
273,1/138,1,848,138,Kingdom Norway,GPE,mentioned in agt text,CON_81,Norway,Country/State,NOR,Norway,NOR
274,1/138,1,848,138,Oman,GPE,mentioned in agt text,CON_606,Oman,Country/State,OMA,Oman,OMN
275,1/138,1,848,138,Republic,GPE,mentioned in agt text,0,,,,,
276,1/138,1,848,138,Philippines,GPE,mentioned in agt text,CON_160,Philippines,Country/State,PHI,Philippines,PHL
277,1/138,1,848,138,Republic Poland,GPE,mentioned in agt text,CON_603,Poland,Country/State,POL,Poland,POL
278,1/138,1,848,138,Portuguese Republic,GPE,mentioned in agt text,CON_259,Portugal,Country/State,POR,Portugal,PRT
279,1/138,1,848,138,Qatar,GPE,mentioned in agt text,CON_486,Qatar,Country/State,QAT,Qatar,QAT
280,1/138,1,848,138,Romania,GPE,mentioned in agt text,CON_394,Romania,Country/State,,Romania,ROU
281,1/138,1,848,138,Russian Federation,GPE,mentioned in agt text,CON_21,Russia,Country/State,RUS,Russian Federation,RUS
282,1/138,1,848,138,Kingdom Saudi Arabia,GPE,mentioned in agt text,CON_419,Saudi Arabia,Country/State,SAU,Saudi Arabia,SAU
283,1/138,1,848,138,Slovak Republic,GPE,mentioned in agt text,CON_592,Slovakia,Country/State,SLO,Slovakia,SVK
284,1/138,1,848,138,Republic Slovenia,GPE,mentioned in agt text,CON_14,Slovenia,Country/State,SLV,Slovenia,SVN
285,1/138,1,848,138,Republic South Africa,GPE,mentioned in agt text,CON_221,South Africa,Country/State,SAF,South Africa,ZAF
286,1/138,1,848,138,Kingdom Spain,GPE,mentioned in agt text,CON_4,Spain,Country/State,SPN,Spain,ESP
287,1/138,1,848,138,Kingdom Sweden,GPE,mentioned in agt text,CON_593,Sweden,Country/State,SWD,Sweden,SWE
288,1/138,1,848,138,Swiss Confederation,ORG,mentioned in agt text,CON_202,Switzerland,Country/State,SWZ,Switzerland,CHE
289,1/138,1,848,138,Republic Tajikistan,GPE,mentioned in agt text,CON_62,Tajikistan,Country/State,TAJ,Tajikistan,TJK
290,1/138,1,848,138,Kingdom Thailand,GPE,mentioned in agt text,CON_295,Thailand,Country/State,THI,Thailand,THA
291,1/138,1,848,138,Republic Tunisia,GPE,mentioned in agt text,CON_590,Tunisia,Country/State,TUN,Tunisia,TUN
292,1/138,1,848,138,Republic Turkey,GPE,mentioned in agt text,CON_562,Turkey,Country/State,TUR,Turkey,TUR
293,1/138,1,848,138,Turkmenistan,GPE,mentioned in agt text,CON_57,Turkmenistan,Country/State,TKM,Turkmenistan,TKM
294,1/138,1,848,138,Ukraine,GPE,mentioned in agt text,CON_52,Ukraine,Country/State,UKR,Ukraine,UKR
295,1/138,1,848,138,Oriental Republic Uruguay,GPE,mentioned in agt text,CON_594,Uruguay,Country/State,URU,Uruguay,URY
