mention_id,sentence_id,doc_id,doc_name,sentence_number,entity,entity type,type,actor_id_type,actor_name,new_actor_type,abbreviation,country_based,iso3c
170,1/109,1,848,109,EUROMINES International Investors Forum,ORG,mentioned in agt text,0,,,,,
171,1/109,1,848,109,Brussels,GPE,mentioned in agt text,0,,,,,
172,1/111,1,848,111,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
173,1/113,1,848,113,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
174,1/114,1,848,114,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
175,1/116,1,848,116,“ Istanbul Conference,ORG,mentioned in agt text,0,,,,,
176,1/116,1,848,116,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
177,1/116,1,848,116,Asia,LOC,mentioned in agt text,0,,,,,
178,1/117,1,848,117,Asia,LOC,mentioned in agt text,0,,,,,
179,1/118,1,848,118,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
181,1/118,1,848,118,Kabul,GPE,mentioned in agt text,0,,,,,
182,1/120,1,848,120,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
183,1/120,1,848,120,South Asia,LOC,mentioned in agt text,0,,,,,
184,1/120,1,848,120,Central Asia,LOC,mentioned in agt text,0,,,,,
185,1/120,1,848,120,Eurasia,GPE,mentioned in agt text,0,,,,,
186,1/120,1,848,120,Middle East,LOC,mentioned in agt text,0,,,,,
187,1/121,1,848,121,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
189,1/123,1,848,123,Republic Tajikistan,GPE,mentioned in agt text,CON_62,Tajikistan,Country/State,TAJ,Tajikistan,TJK
190,1/123,1,848,123,Dushanbe,GPE,mentioned in agt text,0,,,,,
191,1/125,1,848,125,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
192,1/125,1,848,125,Pakistan,GPE,mentioned in agt text,CON_395,Pakistan,Country/State,PAK,Pakistan,PAK
193,1/125,1,848,125,Iran,GPE,mentioned in agt text,CON_289,Iran (Islamic Republic of),Country/State,IRN,Iran (Islamic Republic of),IRN
194,1/125,1,848,125,Afghans,NORP,mentioned in agt text,0,,,,,
196,1/127,1,848,127,Transition,ORG,mentioned in agt text,0,,,,,
197,1/127,1,848,127,Transformation,ORG,mentioned in agt text,0,,,,,
198,1/127,1,848,127,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
199,1/128,1,848,128,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
200,1/128,1,848,128,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
201,1/130,1,848,130,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
202,1/131,1,848,131,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
203,1/133,1,848,133,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
204,1/133,1,848,133,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
205,1/134,1,848,134,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
206,1/134,1,848,134,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
207,1/136,1,848,136,Bonn,GPE,mentioned in agt text,0,,,,,
208,1/136,1,848,136,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
209,1/136,1,848,136,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
210,1/136,1,848,136,Petersberg,GPE,mentioned in agt text,0,,,,,
211,1/137,1,848,137,Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
212,1/137,1,848,137,International Community,ORG,mentioned in agt text,OTH_206,International Community,Other,,,
213,1/138,1,848,138,Islamic Republic Afghanistan,GPE,mentioned in agt text,CON_288,Afghanistan,Country/State,AFG,Afghanistan,AFG
214,1/138,1,848,138,Republic Albania,GPE,mentioned in agt text,CON_587,Albania,Country/State,ALB,Albania,ALB
215,1/138,1,848,138,People ’s Democratic Republic Algeria,ORG,mentioned in agt text,CON_255,Algeria,Country/State,ALG,Algeria,DZA
216,1/138,1,848,138,Argentine Republic,GPE,mentioned in agt text,CON_9,Argentina,Country/State,ARG,Argentina,ARG
217,1/138,1,848,138,Republic Armenia,GPE,mentioned in agt text,CON_61,Armenia,Country/State,ARM,Armenia,ARM
218,1/138,1,848,138,Australia,GPE,mentioned in agt text,CON_277,Australia,Country/State,AUL,Australia,AUS
219,1/138,1,848,138,Republic Austria,GPE,mentioned in agt text,CON_588,Austria,Country/State,AUS,Austria,AUT
220,1/138,1,848,138,Republic Azerbaijan,GPE,mentioned in agt text,CON_59,Azerbaijan,Country/State,AZE,Azerbaijan,AZE
221,1/138,1,848,138,Kingdom Bahrain,GPE,mentioned in agt text,CON_18,Bahrain,Country/State,BAH,Bahrain,BHR
222,1/138,1,848,138,People ’s Republic Bangladesh,ORG,mentioned in agt text,CON_287,Bangladesh,Country/State,BNG,Bangladesh,BGD
223,1/138,1,848,138,Kingdom Belgium,GPE,mentioned in agt text,CON_441,Belgium,Country/State,BEL,Belgium,BEL
224,1/138,1,848,138,Bosnia Herzegovina,GPE,mentioned in agt text,CON_0,Bosnia and Herzegovina,Country/State,BOS,Bosnia and Herzegovina,BIH
225,1/138,1,848,138,Federative Republic Brazil,GPE,mentioned in agt text,CON_15,Brazil,Country/State,BRA,Brazil,BRA
226,1/138,1,848,138,Brunei Darussalam,GPE,mentioned in agt text,CON_292,Brunei,Country/State,BRU,Brunei Darussalam,BRN
227,1/138,1,848,138,Republic Bulgaria,GPE,mentioned in agt text,CON_589,Bulgaria,Country/State,BUL,Bulgaria,BGR
228,1/138,1,848,138,Canada,GPE,mentioned in agt text,CON_11,Canada,Country/State,CAN,Canada,CAN
229,1/138,1,848,138,People ’s Republic China,ORG,mentioned in agt text,CON_20,China,Country/State,CHN,China,CHN
