signatory_id,sentence_id,entity type,entity,AgtId,text,signatory_type,actor_id_type,actor_name,actor_type,actor,abbreviation,country_based,iso3c,correct?,notes
10,6,GPE,Federal Republic Germany,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_2,Germany,Country/State,Germany,GMY,Germany,DEU,,
11,6,ORG,Republic Italy,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_139,Italy,Country/State,Italy,ITA,Italy,ITA,,
12,6,GPE,Japan,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_294,Japan,Country/State,Japan,JPN,Japan,JPN,,
13,6,GPE,Norway,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_81,Norway,Country/State,Norway,NOR,Norway,NOR,,
14,6,GPE,Republic Poland,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_603,Poland,Country/State,Poland,POL,Poland,POL,,
15,6,GPE,Spain,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_4,Spain,Country/State,Spain,SPN,Spain,ESP,,
16,6,GPE,Sweden,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_593,Sweden,Country/State,Sweden,SWD,Sweden,SWE,,
17,6,GPE,United Kingdom,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_19,United Kingdom,Country/State,United Kingdom,UKG,United Kingdom of Great Britain and Northern Ireland,GBR,,
18,6,GPE,United States,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,CON_3,United States,Country/State,United States,USA,United States of America,USA,,
19,6,ORG,"United Nations , Economic Cooperation Organization",849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
20,6,ORG,Organization Security Cooperation,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,Organization for Security and Cooperation in Europe,OSCE,,,,
21,6,LOC,Europe,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,0,,,,,,,,
22,6,ORG,North Atlantic Treaty Organization,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_406,North Atlantic Treaty Organization,Intergovernmental Organization,North Atlantic Treaty Organization,NATO,,,,
23,6,ORG,Shanghai Cooperation Organization,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_586,Shanghai Cooperation Organization,Intergovernmental Organization,Shanghai Cooperation Organization,SCO,,,,
24,6,ORG,South Asian Association Regional Cooperation,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_1099,South Asian Association for Regional Cooperation,Intergovernmental Organization,,SAARC,,,,
25,6,ORG,Organization Islamic Cooperation,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_226,Organisation of Islamic Cooperation,Intergovernmental Organization,Organisation of Islamic Cooperation,OIC,,,,
26,6,ORG,European Union,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_5,European Union,Intergovernmental Organization,European Union,EU,,,,
27,6,ORG,Conference Interaction Confidence Building Measures,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,IGO_599,Conference on Interaction and Confidence-Building Measures in Asia (CICA),Intergovernmental Organization,Conference on Interaction and Confidence-Building Measures in Asia (CICA),CICA,,,,
28,6,LOC,Asia,849,"Not signed, agreement mentions the following parties as having supported it: the Commonwealth of Australia, Canada, the Arab Republic of Egypt, the Republic of France, the Federal Republic of Germany, Republic of Italy, Japan, Norway, Republic of Poland, Spain, Sweden, the United Kingdom and the United States as well as the United Nations, Economic Cooperation Organization, Organization for Security and Cooperation in Europe, North Atlantic Treaty Organization, Shanghai Cooperation Organization, South Asian Association for Regional Cooperation, Organization for Islamic Cooperation, the European Union, the Conference on Interaction and Confidence Building Measures in Asia. ",third party,0,,,,,,,,
29,10,GPE,Islamic Republic Afghanistan,706,"Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ",third party,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
30,10,GPE,Kingdom Netherlands,706,"Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ",third party,CON_10,Netherlands,Country/State,Netherlands,NTH,Netherlands,NLD,,
31,10,ORG,Special Representative,706,"Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ",third party,0,,,,,,,,
32,10,GPE,Afghanistan,706,"Not signed, but agreement mentions the conference as co-chaired by: The Foreign Minister of the Islamic Republic of Afghanistan; The Foreign Minister of the Kingdom of the Netherlands; The Special Representative of the Secretary-General for Afghanistan ",third party,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
33,12,ORG,United Nations,705,"Not signed, agreement mentions the following parties as having chaired: The Secretary-General of the United Nations ",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
34,14,GPE,Argentina,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_9,Argentina,Country/State,Argentina,ARG,Argentina,ARG,,
35,14,GPE,Chile,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_177,Chile,Country/State,Chile,CHL,Chile,CHL,,
36,14,GPE,Croatia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_1,Croatia,Country/State,Croatia,CRO,Croatia,HRV,,
37,14,GPE,Cyprus,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_609,Cyprus,Country/State,Cyprus,CYP,Cyprus,CYP,,
38,14,GPE,Estonia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_605,Estonia,Country/State,Estonia,EST,Estonia,EST,,
39,14,GPE,Ireland,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_169,Ireland,Country/State,Ireland,IRE,Ireland,IRL,,
40,14,GPE,Latvia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_615,Latvia,Country/State,Latvia,LAT,Latvia,LVA,,
41,14,GPE,Macedonia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_610,North Macedonia,Country/State,North Macedonia,MAC,North Macedonia,MKD,,
42,14,GPE,Malta,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_614,Malta,Country/State,Malta,MLT,Malta,MLT,,
43,14,GPE,Oman,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_606,Oman,Country/State,Oman,OMA,Oman,OMN,,
44,14,ORG,Organisation Security Cooperation,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,Organization for Security and Cooperation in Europe,OSCE,,,,
45,14,LOC,Europe,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,0,,,,,,,,
46,14,GPE,Singapore,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_296,Singapore,Country/State,Singapore,SIN,Singapore,SGP,,
47,14,GPE,Slovakia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_592,Slovakia,Country/State,Slovakia,SLO,Slovakia,SVK,,
48,14,GPE,Slovenia,1061,"Listed as observers: Argentina, Chile, Croatia, Cyprus, Estonia, Ireland, Latvia, Macedonia (FYR), Malta, Oman, Organisation for Security and Cooperation in Europe, Singapore, Slovakia, Slovenia  ",third party,CON_14,Slovenia,Country/State,Slovenia,SLV,Slovenia,SVN,,
49,17,GPE,Japan,908,"Not signed, agreement mentions the following parties as having attended: H.E. Mr. Junichiro Koizumi, Prime Minister of Japan; H.E. Mr. Kofi Annan, UN Secretary General. ",third party,CON_294,Japan,Country/State,Japan,JPN,Japan,JPN,,
50,17,ORG,H.E.,908,"Not signed, agreement mentions the following parties as having attended: H.E. Mr. Junichiro Koizumi, Prime Minister of Japan; H.E. Mr. Kofi Annan, UN Secretary General. ",third party,0,,,,,,,,
51,17,ORG,UN,908,"Not signed, agreement mentions the following parties as having attended: H.E. Mr. Junichiro Koizumi, Prime Minister of Japan; H.E. Mr. Kofi Annan, UN Secretary General. ",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
52,18,ORG,United Nations,272,"Agreement witnessed for the United Nations by: Mr. Lakhdar Brahimi, Special Representative of the Secretary-General for Afghanistan",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
53,18,GPE,Afghanistan,272,"Agreement witnessed for the United Nations by: Mr. Lakhdar Brahimi, Special Representative of the Secretary-General for Afghanistan",third party,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
54,19,ORG,United Nations,553,"The agreement refers to the participation of the Special Envoy of the United Nations Secretary-General for Afghanistan, Mr. Lakhdar Brahimi. ",third party,IGO_49,United Nations (General),Intergovernmental Organization,United Nations,UN,,,,
55,19,GPE,Afghanistan,553,"The agreement refers to the participation of the Special Envoy of the United Nations Secretary-General for Afghanistan, Mr. Lakhdar Brahimi. ",third party,CON_288,Afghanistan,Country/State,Afghanistan,AFG,Afghanistan,AFG,,
