mention_id,sentence_id,entity type,entity,doc_id_x,sentence_number,doc_name,doc_id_y,type,actor_id_type,actor_type,actor_name,actor,abbreviation,country_based,iso3c,correct?,notes
87,1/42,ORG,Afghan Government,1,42,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
88,1/43,ORG,International Contact Group,1,43,848,1,mentioned in agt text,0,,,,,,,,
89,1/43,ORG,Afghan Government,1,43,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
90,1/45,NORP,Afghan,1,45,848,1,mentioned in agt text,0,,,,,,,,
91,1/46,GPE,Afghanistan,1,46,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
92,1/48,ORG,Transition,1,48,848,1,mentioned in agt text,0,,,,,,,,
93,1/49,NORP,Afghan,1,49,848,1,mentioned in agt text,0,,,,,,,,
94,1/50,ORG,International Security Assistance Force,1,50,848,1,mentioned in agt text,0,,,,,,,,
95,1/50,ORG,ISAF,1,50,848,1,mentioned in agt text,0,,,,,,,,
96,1/50,ORG,UN Security Council,1,50,848,1,mentioned in agt text,IGO_8,Intergovernmental Organization,UN Security Council,United Nations,UNSC,,,,
97,1/51,ORG,Transition,1,51,848,1,mentioned in agt text,0,,,,,,,,
98,1/51,GPE,Afghanistan,1,51,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
99,1/52,ORG,International Community,1,52,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
100,1/52,GPE,Afghanistan,1,52,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
101,1/54,ORG,Afghan National Security Forces,1,54,848,1,mentioned in agt text,0,,,,,,,,
102,1/55,ORG,ANSF,1,55,848,1,mentioned in agt text,0,,,,,,,,
103,1/55,ORG,International Community,1,55,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
104,1/56,GPE,Afghanistan,1,56,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
105,1/57,ORG,ANSF,1,57,848,1,mentioned in agt text,0,,,,,,,,
106,1/57,ORG,NATO,1,57,848,1,mentioned in agt text,IGO_406,Intergovernmental Organization,North Atlantic Treaty Organization,North Atlantic Treaty Organization,NATO,,,,
107,1/57,GPE,Chicago,1,57,848,1,mentioned in agt text,0,,,,,,,,
108,1/59,GPE,Afghanistan,1,59,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
109,1/60,GPE,Afghanistan,1,60,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
110,1/61,GPE,Afghanistan,1,61,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
111,1/63,GPE,Afghanistan,1,63,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
112,1/64,GPE,Afghanistan,1,64,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
113,1/64,ORG,International Community,1,64,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
114,1/67,GPE,Afghanistan,1,67,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
115,1/68,GPE,Afghanistan,1,68,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
116,1/69,NORP,Afghan,1,69,848,1,mentioned in agt text,0,,,,,,,,
117,1/71,GPE,Afghanistan,1,71,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
118,1/71,ORG,High Peace Council,1,71,848,1,mentioned in agt text,0,,,,,,,,
119,1/72,ORG,International Community,1,72,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
120,1/72,ORG,Afghan Government,1,72,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
121,1/72,ORG,High Peace Council,1,72,848,1,mentioned in agt text,0,,,,,,,,
122,1/72,ORG,Reintegration Programme,1,72,848,1,mentioned in agt text,0,,,,,,,,
123,1/75,ORG,UN,1,75,848,1,mentioned in agt text,IGO_49,Intergovernmental Organization,United Nations (General),United Nations,UN,,,,
124,1/75,ORG,International Community,1,75,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
125,1/75,GPE,Afghanistan,1,75,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
126,1/75,ORG,Afghan‐owned,1,75,848,1,mentioned in agt text,0,,,,,,,,
127,1/76,GPE,Afghanistan,1,76,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
128,1/77,GPE,Afghanistan,1,77,848,1,mentioned in agt text,CON_288,Country/State,Afghanistan,Afghanistan,AFG,Afghanistan,AFG,,
129,1/82,ORG,International Community,1,82,848,1,mentioned in agt text,OTH_206,Other,International Community,International Community,,,,,
